order_id,order_date,region,product,customer_segment,units,revenue,cost,profit
ORD-2023-0124,2023-07-09,Europe,Professional Plan,Enterprise,6,2895.54,1262.8,1632.74
ORD-2023-0125,2023-07-09,Europe,Add-on Module,Mid-Market,9,733.23,211.97,521.26
ORD-2023-0126,2023-07-10,Europe,Add-on Module,Small Business,2,147.26,47.43,99.83
ORD-2023-0127,2023-07-11,Asia-Pacific,Add-on Module,Small Business,3,235.05,73.07,161.98
ORD-2023-0128,2023-07-17,Latin America,Enterprise Suite,Small Business,2,2621.82,1029.72,1592.1
ORD-2023-0129,2023-07-17,Europe,Add-on Module,Enterprise,9,741.33,259.76,481.57
ORD-2023-0130,2023-07-17,North America,Professional Plan,Enterprise,17,7620.25,3441.63,4178.62
ORD-2023-0131,2023-07-18,Asia-Pacific,Add-on Module,Mid-Market,3,228.21,67.49,160.72
ORD-2023-0132,2023-07-20,North America,Add-on Module,Small Business,3,241.41,69.82,171.59
ORD-2023-0133,2023-07-20,Europe,Professional Plan,Mid-Market,9,4290.93,1917.71,2373.22
ORD-2023-0134,2023-07-21,North America,Add-on Module,Mid-Market,2,139.72,47.7,92.02
ORD-2023-0135,2023-07-22,North America,Professional Plan,Enterprise,17,8165.61,3626.6,4539.01
ORD-2023-0136,2023-07-25,Latin America,Add-on Module,Small Business,2,138.18,40.4,97.78
ORD-2023-0137,2023-07-26,Asia-Pacific,Professional Plan,Enterprise,11,5327.85,2265.75,3062.1
ORD-2023-0138,2023-07-27,Europe,Add-on Module,Mid-Market,2,135.88,38.16,97.72
ORD-2023-0139,2023-08-01,Europe,Add-on Module,Mid-Market,3,239.4,80.25,159.15
ORD-2023-0140,2023-08-02,North America,Enterprise Suite,Mid-Market,8,8948.64,2978.84,5969.8
ORD-2023-0141,2023-08-03,North America,Enterprise Suite,Enterprise,18,22708.62,8632.47,14076.15
ORD-2023-0142,2023-08-03,North America,Add-on Module,Enterprise,6,430.86,129.2,301.66
ORD-2023-0143,2023-08-04,Europe,Add-on Module,Mid-Market,2,151.8,52.44,99.36
ORD-2023-0144,2023-08-05,Asia-Pacific,Starter Bundle,Enterprise,6,924.12,512.34,411.78
ORD-2023-0145,2023-08-06,Europe,Professional Plan,Mid-Market,4,1666.24,789.37,876.87
ORD-2023-0146,2023-08-06,North America,Starter Bundle,Enterprise,11,1663.64,881.17,782.47
ORD-2023-0147,2023-08-06,Latin America,Enterprise Suite,Mid-Market,8,9392.96,3633.5,5759.46
ORD-2023-0148,2023-08-08,Asia-Pacific,Enterprise Suite,Mid-Market,6,6627.6,2139.42,4488.18
ORD-2023-0149,2023-08-10,Europe,Enterprise Suite,Enterprise,8,8770.24,3302.6,5467.64
ORD-2023-0150,2023-08-12,Europe,Enterprise Suite,Mid-Market,2,2530.08,865.61,1664.47
ORD-2023-0151,2023-08-13,Europe,Add-on Module,Enterprise,5,341.85,119.37,222.48
ORD-2023-0152,2023-08-13,North America,Enterprise Suite,Enterprise,22,28361.74,9068.39,19293.35
ORD-2023-0153,2023-08-13,North America,Add-on Module,Small Business,1,74.19,22.04,52.15
ORD-2023-0154,2023-08-15,Asia-Pacific,Add-on Module,Mid-Market,5,394.35,139.51,254.84
ORD-2023-0155,2023-08-19,North America,Enterprise Suite,Small Business,3,3831.48,1419.87,2411.61
ORD-2023-0156,2023-08-19,North America,Enterprise Suite,Enterprise,23,26233.8,10543.71,15690.09
ORD-2023-0157,2023-08-19,North America,Professional Plan,Mid-Market,3,1288.89,544.82,744.07
ORD-2023-0158,2023-08-19,North America,Starter Bundle,Small Business,1,138.07,74.01,64.06
ORD-2023-0159,2023-08-21,Asia-Pacific,Enterprise Suite,Mid-Market,8,10166.0,3490.84,6675.16
ORD-2023-0160,2023-08-21,Asia-Pacific,Professional Plan,Mid-Market,5,2403.0,1054.3,1348.7
ORD-2023-0161,2023-08-22,Europe,Professional Plan,Mid-Market,5,2319.55,1100.54,1219.01
ORD-2023-0162,2023-08-24,North America,Starter Bundle,Mid-Market,2,327.8,191.49,136.31
ORD-2023-0163,2023-08-25,Europe,Add-on Module,Small Business,1,81.65,25.95,55.7
ORD-2023-0164,2023-08-25,Europe,Enterprise Suite,Small Business,3,3934.44,1328.94,2605.5
ORD-2023-0165,2023-08-28,North America,Starter Bundle,Small Business,1,164.52,92.47,72.05
ORD-2023-0166,2023-08-29,Europe,Enterprise Suite,Enterprise,10,11351.9,4359.05,6992.85
ORD-2023-0167,2023-08-30,North America,Professional Plan,Mid-Market,9,4348.17,1925.73,2422.44
ORD-2023-0168,2023-08-31,Europe,Professional Plan,Small Business,2,965.58,444.33,521.25
ORD-2023-0169,2023-09-01,Europe,Add-on Module,Enterprise,12,838.68,283.02,555.66
ORD-2023-0170,2023-09-04,North America,Professional Plan,Enterprise,12,5692.56,2468.28,3224.28
ORD-2023-0171,2023-09-09,North America,Professional Plan,Mid-Market,5,2033.05,888.5,1144.55
ORD-2023-0172,2023-09-09,Europe,Starter Bundle,Mid-Market,5,679.9,361.8,318.1
ORD-2023-0173,2023-09-09,Europe,Enterprise Suite,Small Business,3,3373.53,1224.43,2149.1
ORD-2023-0174,2023-09-10,Asia-Pacific,Enterprise Suite,Enterprise,18,22024.8,7723.71,14301.09
ORD-2023-0175,2023-09-12,Europe,Starter Bundle,Small Business,1,141.02,78.58,62.44
ORD-2023-0176,2023-09-12,North America,Add-on Module,Enterprise,6,476.76,156.26,320.5
ORD-2023-0177,2023-09-14,North America,Enterprise Suite,Enterprise,17,18970.3,6881.31,12088.99
ORD-2023-0178,2023-09-15,Europe,Professional Plan,Enterprise,22,9860.18,4447.91,5412.27
ORD-2023-0179,2023-09-16,North America,Enterprise Suite,Small Business,3,3740.4,1231.79,2508.61
ORD-2023-0180,2023-09-16,Europe,Professional Plan,Mid-Market,7,3406.9,1506.58,1900.32
ORD-2023-0181,2023-09-17,Latin America,Add-on Module,Mid-Market,80,10.0,8500.0,-8490.0
ORD-2023-0182,2023-09-18,Europe,Starter Bundle,Mid-Market,2,304.26,177.97,126.29
ORD-2023-0183,2023-09-21,North America,Enterprise Suite,Small Business,2,2456.72,841.77,1614.95
ORD-2023-0184,2023-09-22,Europe,Starter Bundle,Mid-Market,3,474.81,252.09,222.72
ORD-2023-0185,2023-09-25,Europe,Enterprise Suite,Small Business,1,1204.25,475.17,729.08
ORD-2023-0186,2023-09-25,Europe,Professional Plan,Mid-Market,6,2474.58,1076.56,1398.02
ORD-2023-0187,2023-09-27,Latin America,Starter Bundle,Mid-Market,3,440.73,254.85,185.88
ORD-2023-0188,2023-09-28,North America,Enterprise Suite,Mid-Market,8,9025.68,3099.65,5926.03
ORD-2023-0189,2023-09-28,Latin America,Professional Plan,Mid-Market,8,3384.08,1631.21,1752.87
ORD-2023-0190,2023-09-28,Latin America,Starter Bundle,Mid-Market,2,327.1,189.3,137.8
ORD-2023-0191,2023-10-01,North America,Starter Bundle,Mid-Market,4,543.8,288.88,254.92
ORD-2023-0192,2023-10-04,North America,Enterprise Suite,Enterprise,11,13498.21,5085.43,8412.78
ORD-2023-0193,2023-10-07,North America,Enterprise Suite,Small Business,2,2460.14,826.12,1634.02
ORD-2023-0194,2023-10-07,North America,Enterprise Suite,Mid-Market,8,10204.48,4033.12,6171.36
ORD-2023-0195,2023-10-10,North America,Professional Plan,Mid-Market,5,2273.85,1026.14,1247.71
ORD-2023-0196,2023-10-10,Europe,Enterprise Suite,Small Business,2,2377.12,826.33,1550.79
ORD-2023-0197,2023-10-11,North America,Starter Bundle,Mid-Market,2,279.84,156.81,123.03
ORD-2023-0198,2023-10-11,North America,Starter Bundle,Enterprise,22,3009.82,1720.25,1289.57
ORD-2023-0199,2023-10-13,Asia-Pacific,Enterprise Suite,Small Business,1,1195.03,418.22,776.81
ORD-2023-0200,2023-10-16,North America,Enterprise Suite,Mid-Market,4,5256.84,1963.6,3293.24
ORD-2023-0201,2023-10-20,Asia-Pacific,Add-on Module,Mid-Market,9,725.22,229.56,495.66
ORD-2023-0202,2023-10-21,North America,Starter Bundle,Enterprise,23,3216.55,1880.97,1335.58
ORD-2023-0203,2023-10-21,North America,Professional Plan,Small Business,3,1276.68,539.73,736.95
ORD-2023-0204,2023-10-22,Europe,Add-on Module,Mid-Market,2,149.8,52.22,97.58
ORD-2023-0205,2023-10-23,Europe,Enterprise Suite,Mid-Market,4,4973.0,1968.81,3004.19
ORD-2023-0206,2023-10-28,Asia-Pacific,Enterprise Suite,Small Business,3,3386.58,1120.9,2265.68
ORD-2023-0207,2023-10-31,Asia-Pacific,Starter Bundle,Small Business,1,161.05,87.52,73.53
ORD-2023-0208,2023-11-03,Asia-Pacific,Enterprise Suite,Enterprise,24,29541.6,10040.09,19501.51
ORD-2023-0209,2023-11-03,North America,Professional Plan,Mid-Market,7,3457.23,1697.96,1759.27
ORD-2023-0210,2023-11-04,North America,Starter Bundle,Enterprise,21,3158.82,1742.4,1416.42
ORD-2023-0211,2023-11-05,Asia-Pacific,Enterprise Suite,Mid-Market,3,3762.18,1357.68,2404.5
ORD-2023-0212,2023-11-06,Asia-Pacific,Starter Bundle,Enterprise,6,917.58,495.14,422.44
ORD-2023-0213,2023-11-10,Latin America,Enterprise Suite,Mid-Market,8,9171.52,3227.88,5943.64
ORD-2023-0214,2023-11-11,Europe,Enterprise Suite,Small Business,2,2332.4,861.97,1470.43
ORD-2023-0215,2023-11-12,North America,Enterprise Suite,Small Business,2,2463.14,837.6,1625.54
ORD-2023-0216,2023-11-14,Asia-Pacific,Professional Plan,Mid-Market,4,1899.36,883.24,1016.12
ORD-2023-0217,2023-11-14,North America,Professional Plan,Small Business,2,842.34,401.81,440.53
ORD-2023-0218,2023-11-16,Latin America,Starter Bundle,Enterprise,18,2706.84,1520.8,1186.04
ORD-2023-0219,2023-11-20,Asia-Pacific,Enterprise Suite,Small Business,2,2396.3,913.25,1483.05
ORD-2023-0220,2023-11-21,Europe,Enterprise Suite,Enterprise,19,23223.7,8198.88,15024.82
ORD-2023-0221,2023-11-22,Asia-Pacific,Professional Plan,Mid-Market,8,9600.0,95000.0,-85400.0
ORD-2023-0222,2023-11-23,Asia-Pacific,Enterprise Suite,Small Business,3,3464.76,1276.0,2188.76
ORD-2023-0223,2023-11-23,North America,Professional Plan,Enterprise,7,3248.77,1529.35,1719.42
ORD-2023-0224,2023-11-24,Latin America,Enterprise Suite,Enterprise,12,14684.28,5410.9,9273.38
ORD-2023-0225,2023-11-25,Europe,Starter Bundle,Mid-Market,8,1188.88,680.27,508.61
ORD-2023-0226,2023-11-27,Asia-Pacific,Enterprise Suite,Mid-Market,4,4744.36,1774.58,2969.78
ORD-2023-0227,2023-11-27,North America,Enterprise Suite,Mid-Market,6,6965.28,2312.19,4653.09
ORD-2023-0228,2023-12-04,Asia-Pacific,Add-on Module,Mid-Market,2,148.48,44.92,103.56
ORD-2023-0229,2023-12-06,North America,Professional Plan,Mid-Market,5,2343.05,1129.48,1213.57
ORD-2023-0230,2023-12-06,North America,Enterprise Suite,Enterprise,24,28105.2,9860.2,18245.0
ORD-2023-0231,2023-12-09,Latin America,Enterprise Suite,Mid-Market,8,9914.48,3587.99,6326.49
ORD-2023-0232,2023-12-10,North America,Add-on Module,Enterprise,21,1639.68,517.12,1122.56
ORD-2023-0233,2023-12-10,North America,Add-on Module,Small Business,3,241.56,81.47,160.09
ORD-2023-0234,2023-12-11,Latin America,Professional Plan,Mid-Market,6,2448.48,1036.81,1411.67
ORD-2023-0235,2023-12-11,Latin America,Add-on Module,Mid-Market,2,150.94,40.87,110.07
ORD-2023-0236,2023-12-12,Europe,Starter Bundle,Mid-Market,6,925.2,530.01,395.19
ORD-2023-0237,2023-12-12,Europe,Add-on Module,Small Business,1,81.51,26.67,54.84
ORD-2023-0238,2023-12-12,Europe,Starter Bundle,Enterprise,21,3203.34,1748.19,1455.15
ORD-2023-0239,2023-12-14,North America,Professional Plan,Mid-Market,5,2469.0,1049.31,1419.69
ORD-2023-0240,2023-12-15,North America,Professional Plan,Mid-Market,4,1626.24,765.79,860.45
ORD-2023-0241,2023-12-15,Europe,Professional Plan,Mid-Market,6,2898.66,1337.69,1560.97
ORD-2023-0242,2023-12-17,Asia-Pacific,Professional Plan,Enterprise,19,8587.24,4031.71,4555.53
ORD-2023-0243,2023-12-18,Asia-Pacific,Professional Plan,Small Business,2,835.14,410.77,424.37
ORD-2023-0244,2023-12-18,Asia-Pacific,Starter Bundle,Small Business,1,139.31,73.98,65.33
ORD-2023-0245,2023-12-25,North America,Starter Bundle,Mid-Market,5,776.0,410.71,365.29
ORD-2023-0246,2023-12-25,Europe,Professional Plan,Mid-Market,2,941.54,454.61,486.93
ORD-2023-0247,2023-12-26,North America,Add-on Module,Small Business,2,161.04,54.73,106.31
ORD-2023-0248,2023-12-26,Europe,Enterprise Suite,Mid-Market,3,3716.37,1186.66,2529.71
ORD-2023-0249,2023-12-26,Europe,Professional Plan,Enterprise,15,6997.35,3207.95,3789.4
ORD-2023-0250,2023-12-30,Asia-Pacific,Add-on Module,Mid-Market,2,159.92,44.35,115.57
